accessionVersion,lineage,sampleCollectionDate,geoLocCountry,geoLocAdmin1,authors,authorAffiliations,hostNameScientific,length,earliestReleaseDate,submissionId,groupName,dataUseTerms,dataUseTermsUrl,biosampleAccession,completeness,geoLocAdmin2,geoLocCity,insdcAccessionFull,insdcRawReadsAccession,isLabHost,specimenCollectorSampleId,totalAmbiguousNucs,totalUnknownNucs,parsed_date,year,subtype,group_count,sampling_weight
PP_001S2QX.1,A.D.2.2,2019-02-11,USA,California,"Wilkins, D.; Langedijk, A. C.; Lebbink, R. J.; Morehouse, C. A.; Abram, M. E.; Ahani, B.; Aksyuk, A. A.; Baraldi, E.; Brady, T.; Chen, A. T.; Chi, H.; Choi, E. H.; Cohen, R.; Danilenko, D. M.; Gopalakrishnan, V.; Greenough, A.; Heikkinen, T.; Hosoya, M.; Keller, C.; Kelly, E. J.; Kragten-Tabatabaie, L.; Martinon-Torres, F.; Mascarenas-de Los Santos, A. H.; Nunes, M. C.; Palomino, M. A.; Papenburg, J.; Pernica, J. M.; Richmond, P.; Stein, R. T.; Tuffy, K. M.; Verwey, C.; Esser, M. T.; Tabor, D. E.; Bont, L. J.","Astrazeneca, Early Vaccines & Immune Therapies",Homo sapiens,1725,2023-03-05,OQ277301.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11330049261083744,NA,NA,OQ277301.1,NA,NA,24834_4_19,0,0,2019-02-11T00:00:00Z,2019,RSV-A,799,0.03537745688386125
PP_001PW96.1,A.D.5.3,2019-11-09,Philippines,Cebu,"Wang, L.; Lumandas, M. U.; Arguelles, V. L.; Morin, J.; Aggarwal, M.; Tatusov, R.; Vega, E.","Centers for Disease Control and Prevention (CDC), Division of Viral Diseases (DVD)",Homo sapiens,15230,2023-04-05,OP320391.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,1,NA,NA,OP320391.1,NA,NA,HRSV/A/Philippines/99076/2019,0,0,2019-11-09T00:00:00Z,2019,RSV-A,19,0.22941573387056174
PP_001UJ8A.1,A.D.3,2021,China,NA,"Fu, Y.; Li, Q.; Li, F.; Huang, L.; Zhang, H.; Chen, X.; Xie, Z.","Laboratory of Infection and Virology, Beijing Pediatric Research Institute, Beijing Children's Hospital, Beijing Key Laboratory of Pediatric Respiratory Infectious Diseases",Homo sapiens,1725,2023-10-25,OR570432.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11330049261083744,NA,NA,OR570432.1,NA,NA,CQ038/CQ/CHN/2021,0,0,2021-01-01T00:00:00Z,2021,RSV-A,45,0.14907119849998599
PP_004KGFD.1,A.D.5.2,2022-11-30,USA,"Texas, Houston","Avadhanula, V.; Agustinho, D. P.; Sahni, L. C.; Surathu, A.; Henke, D.; Doddapaneni, H.; Muzny, D. M.; Metcalf, G. A.; Javornik Cregeen, S.; Thornburg, N. J.; Moline, H. L.; Tannis, A.; Gibbs, R. A.; Petrosino, J. F.; Boom, J. A.; Sedlazeck, F. J.; Piedra, P. A.","Baylor College of Medicine, Alkek Center for Metagenomics and Microbiome Research",Homo sapiens,15244,2026-02-20,PX122437.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMN50231966,0.9992118226600986,NA,NA,PX122437.1,SRR34736725,NA,HRSV/A/USA/TX-HOU-210557/2022,0,12,2022-11-30T00:00:00Z,2022,RSV-A,800,0.035355339059327376
PP_004KHPV.1,A.D.5.2,2025-03-06,USA,Ohio,"Sabin, S.; Kelleher, A.; Lu, X.; Lourenco, P. R.; Mandal, P.; Smith, C.; Cook, P. W.; Paden, C. R.; Atherton, L.","Centers for Disease Control and Prevention, Coronaviruses and Other Respiratory Viruses Division",Homo sapiens,15208,2026-02-20,PZ017879.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMN55360663,0.999080459770115,NA,NA,PZ017879.1,SRR37232998,NA,HRSV/Human/A/USA/OH-CDC-9011210-001/2025,0,1,2025-03-06T00:00:00Z,2025,RSV-A,1265,0.028116077855776665
PP_004JGVL.1,A.D,2015-01-23,Germany,NA,"Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas","Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf , Düsseldorf, Germany; Institute of Virology , University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Düsseldorf Health Authority (Gesundheitsamt Düsseldorf), Düsseldorf, Germany; Düsseldorf Health Authority (Gesundheitsamt Düsseldorf), Düsseldorf, Germany; Institute for Hygiene and Public Health, University Hospital Bonn, Bonn, Germany; Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Medical Microbiology and Hospital Hygiene, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany",Homo sapiens,14813,2026-02-10,hRSV/A/Germany/NRW-HHU-34/2015,Institute of Virology Düsseldorf,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA121347119,0.9730049261083744,NA,Düsseldorf,OZ411930.1,NA,NA,NA,0,0,2015-01-23T00:00:00Z,2015,RSV-A,8,0.35355339059327373
PP_001HKRW.1,A.D,2012-11,China,NA,"Cui, G.; Zhu, R.; Deng, J.; Zhao, L.; Sun, Y.; Wang, F.; Qian, Y.","Capital Institute of Pediatrics, Beijing Key Laboratory of Etiology of Viral Diseases in Children; Laboratory of Virology",Homo sapiens,15231,2017-09-03,MF614946.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,1,NA,NA,MF614946.1,NA,NA,BJ/40180,0,0,2011-12-20T00:00:00Z,2011,RSV-A,47,0.14586499149789456
PP_003V1MW.2,A.D.1.9,2025-03-04,Slovakia,NA,"Sladecek, T.","Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava",Homo sapiens,15223,2025-06-23,OZ275773.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA118573398,1,NA,NA,OZ275773.1,ERR15133736,NA,RNA,0,0,2025-03-04T00:00:00Z,2025,RSV-A,64,0.125
PP_001VXSS.1,A.D.3,2023-11-03,USA,Minnesota,"Kunerth, H. D.; Plumb, M.; Namugenyi, S.; Evans, D.; Wang, X.","Minnesota Department of Health, Public Health Laboratory - Infectious Disease Lab",Homo sapiens,15047,2024-03-02,PP386359.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMN39746787,0.9382594417077176,NA,NA,PP386359.1,SRR27844292,NA,MN-MDH-RSVA-00151,0,762,2023-11-03T00:00:00Z,2023,RSV-A,653,0.03913302400974161
PP_004JGEH.1,A.3.1,2013-01-14,Germany,NA,"Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas","Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf , Düsseldorf, Germany; Institute of Virology , University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Düsseldorf Health Authority (Gesundheitsamt Düsseldorf), Düsseldorf, Germany; Düsseldorf Health Authority (Gesundheitsamt Düsseldorf), Düsseldorf, Germany; Institute for Hygiene and Public Health, University Hospital Bonn, Bonn, Germany; Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Medical Microbiology and Hospital Hygiene, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany; Institute of Virology, University Hospital Düsseldorf Heinrich Heine University Düsseldorf, Düsseldorf, Germany",Homo sapiens,14741,2026-02-10,hRSV/A/Germany/NRW-HHU-19/2013,Institute of Virology Düsseldorf,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA121347104,0.9730049261083744,NA,Düsseldorf,OZ411940.1,NA,NA,NA,0,0,2013-01-14T00:00:00Z,2013,RSV-A,9,0.3333333333333333
PP_001ZHYL.1,A.D.3.1,2025-02-22,USA,Minnesota,"Kunerth, H. D.; Plumb, M.; Namugenyi, S.; Evans, D.; Bohnkers-Voels, L.; Strain, A.","Minnesota Department of Health, Public Health Laboratory - Infectious Disease Lab",Homo sapiens,15046,2025-04-23,PV535415.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMN48015242,0.8995730706075533,NA,NA,PV535415.1,SRR33162359,NA,MN-MDH-RSVA-02547,1,1350,2025-02-22T00:00:00Z,2025,RSV-A,1265,0.028116077855776665
PP_001UX45.1,A.D.1,2022-10-26,USA,NA,"Gilbert, J.; Lauring, A. S.; Papalambros, L. K.","University of Michigan, Microbiology & Immunology",Homo sapiens,14427,2023-12-17,OR872626.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.92623973727422,NA,NA,OR872626.1,NA,NA,hRSV-A-W13K36O5,0,324,2022-10-26T00:00:00Z,2022,RSV-A,800,0.035355339059327376
PP_0046QXZ.2,A.D.5,2020-01-08,Egypt,Qalyubia,"Dong, Xiaomin; Edwards, Steven; Deng, Yi Mo; Barr, Ian; Hirankitti, Arada; Dapat, Clyde",WHO Collaborating Centre for Reference and Research on Influenza,NA,15195,2025-09-24,hRSV/A/Egypt/KB-CPHL002/2020,whoflu,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA120260685,0.9982922824302136,NA,NA,OZ334777.1,NA,NA,NA,0,0,2020-01-08T00:00:00Z,2020,RSV-A,5,0.44721359549995793
PP_001X3D9.1,A.D.5,2022-11-11,Ireland,NA,"Carr, M.; Dean, J.; Hare, D.; OByrne, E.; De Gascun, C. F.; Rice, A.; Gonzalez, G.","University College Dublin, National Virus Reference Laboratory",Homo sapiens,15177,2024-08-06,PP970060.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9960591133004926,NA,NA,PP970060.1,NA,NA,A18321096,0,60,2022-11-11T00:00:00Z,2022,RSV-A,54,0.13608276348795434
PP_001F53S.2,A.3.1,2012-02-27,Jordan,Amman,"Shabman, R.; Das, S. R.; Puri, V.; Fedorova, N.; Amedeo, P.; Williams, M.; Shrivastava, S.; Halasa, N.",J. Craig Venter Institute,Homo sapiens,15098,2016-08-15,KX655616.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9964532019704434,NA,NA,KX655616.1,NA,NA,RSVA/Homo sapiens/JOR/A0444/2012,0,0,2012-02-27T00:00:00Z,2012,RSV-A,32,0.17677669529663687
PP_001TN0Q.1,A.D.1,2020-01-08,USA,"Washington, King County","Frazar, C. D.; Lee, J.; Ryke, E.; Gamboa, L.; McDermot, E.; Stone, J.; Kolar, T.; Han, P. D.; Sibley, T. R.; Truong, M.; Reinhart, D.; Wolf, C. R.; Boeckh, M.; Englund, J. A.; Lutz, B. R.; Waghmare, A.; Viboud, C.; Starita, L. M.; Shendure, J.; Bedford, T.; Chu, H. Y.",The Brotman Baty Institute for Precision Medicine,Homo sapiens,15197,2023-08-26,OR287939.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMN36359185,0.998095238095238,NA,NA,OR287939.1,NA,NA,RSV-A/human/USA/WA-S23325/2020,0,2,2020-01-08T00:00:00Z,2020,RSV-A,726,0.037113480951260276
PP_001NMAF.1,A.D.5.2,2021-04,France,NA,"Coppee, R.; Chenane, H. R.; Bridier-Nahmias, A.; Tcherakian, C.; Catherinot, E.; Collin, G.; Lebourgeois, S.; Visseaux, B.; Descamps, D.; Vasse, M.; Farfour, E.","Universite de Paris, Inserm UMR1137",Homo sapiens,15255,2022-10-07,OK500259.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,1,NA,NA,OK500259.1,NA,NA,Patient_G_D10,0,0,2021-04-01T00:00:00Z,2021,RSV-A,42,0.1543033499620919
PP_001BR92.1,A.2.1,2013,USA,Tennessee,"Newman, R. M.; Zody, M. C.; DeVincenzo, J. P.; Grad, Y.; Lipsitch, M.; Murphy, R.; Fitzgerald, M.; Young, S.; Gargeya, S.; Poon, T. W.; Charlebois, P.; Weiner, B.; Yang, X.; Piper, M. E.; McCowan, C.; Ireland, A.; Levin, J.; Malboeuf, C.; Qu, J.; Chapman, S. B.; Murphy, C.; Wortman, J.; Nusbaum, C.; Birren, B.",Broad Institute of MIT & Harvard,Homo sapiens,15159,2014-06-03,KJ643556.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.999080459770115,NA,NA,KJ643556.1,NA,NA,RSV-A/US/BID-V9501/2013,0,0,2013-01-01T00:00:00Z,2013,RSV-A,263,0.061662641597820735
PP_004EMZG.1,A.D.1.6,2025-07-03,Australia,Victoria,"Dong, Xiaomin; Edwards, Steven; Deng, Yi Mo; Barr, Ian; Hirankitti, Arada; Dapat, Clyde",WHO Collaborating Centre for Reference and Research on Influenza,NA,15222,2025-12-17,hRSV/A/Australia/VIC-MMC-0014/2025,whoflu,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA120868992,0.9997372742200328,NA,Melbourne,OZ389078.1,NA,NA,NA,0,0,2025-07-03T00:00:00Z,2025,RSV-A,131,0.0873704056661038
PP_0046C5W.2,A.D.1,2021-01-21,Australia,Queensland,"Dong, Xiaomin; Edwards, Steven; Deng, Yi Mo; Barr, Ian; Hirankitti, Arada; Dapat, Clyde",WHO Collaborating Centre for Reference and Research on Influenza,NA,15216,2025-09-24,hRSV/A/Australia/QLD-RBWH025/2021,whoflu,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA120259884,0.9992775041050904,NA,Brisbane,OZ332105.1,NA,NA,NA,0,0,2021-01-21T00:00:00Z,2021,RSV-A,242,0.0642824346533225
PP_001PMTC.1,A.D,2015-05-29,Argentina,Ciudad Autonoma de Buenos Aires,"Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.","Ricardo Gutierrez Children's Hospital, Virology Laboratory",Homo sapiens,15216,2023-02-11,ON237252.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.999408866995074,NA,NA,ON237252.1,NA,NA,HRSV/A/Argentina/BA-HNRG-125/2015,0,0,2015-05-29T00:00:00Z,2015,RSV-A,32,0.17677669529663687
PP_001VD6H.1,A.D,2019-02-13,Netherlands,NA,"Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.","UMC Utrecht, Paediatric Infectious Diseases",Homo sapiens,15151,2024-04-09,PP376314.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9951395730706076,NA,NA,PP376314.1,NA,NA,310102050,1,0,2019-02-13T00:00:00Z,2019,RSV-A,113,0.09407208683835973
PP_001QG8L.1,A.D,2019-01-29,Austria,NA,"Redlberger-Fritz, M.; Springer, D. N.; Aberle, S. W.; Camp, J. V.; Aberle, J. H.","Medical University of Vienna, Center for Virology",Homo sapiens,15258,2023-02-19,OQ261746.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,1,NA,NA,OQ261746.1,NA,NA,hRSV/A/Austria/MUW1120425/2019,0,0,2019-01-29T00:00:00Z,2019,RSV-A,1,1
PP_001BNNC.1,A.2.1,2013,USA,Tennessee,"Newman, R. M.; Zody, M. C.; DeVincenzo, J. P.; Grad, Y.; Lipsitch, M.; Murphy, R.; Fitzgerald, M.; Young, S.; Gargeya, S.; Poon, T. W.; Charlebois, P.; Weiner, B.; Yang, X.; Piper, M. E.; McCowan, C.; Ireland, A.; Levin, J.; Malboeuf, C.; Qu, J.; Chapman, S. B.; Murphy, C.; Wortman, J.; Nusbaum, C.; Birren, B.",Broad Institute of MIT & Harvard,Homo sapiens,15168,2014-06-03,KJ643467.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9997372742200328,NA,NA,KJ643467.1,NA,NA,RSV-A/US/BID-V9378/2013,0,0,2013-01-01T00:00:00Z,2013,RSV-A,263,0.061662641597820735
PP_004ED1M.1,A.D.3.11,2024-06-15,Comoros,Ngazidja,"Ahmed El-Harif, N.-K.; Moise Diagne, M.; Abdou Azali, H.; Ndeboko, B.","INRAPE, USS, Zoonoses",Homo sapiens,15230,2025-12-09,PX632726.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.999671592775041,NA,NA,PX632726.1,NA,NA,11_S11,0,0,2024-06-15T00:00:00Z,2024,RSV-A,1,1
